,id,code,label
165,165,"CompilationUnit PackageDeclaration /**
 * Licensed to the Apache Software Foundation (ASF) under one
 * or more contributor license agreements.  See the NOTICE file
 * distributed with this work for additional information
 * regarding copyright ownership.  The ASF licenses this file
 * to you under the Apache License, Version 2.0 (the
 * ""License""); you may not use this file except in compliance
 * with the License.  You may obtain a copy of the License at
 *
 *     http://www.apache.org/licenses/LICENSE-2.0
 *
 * Unless required by applicable law or agreed to in writing, software
 * distributed under the License is distributed on an ""AS IS"" BASIS,
 * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
 * See the License for the specific language governing permissions and
 * limitations under the License.
 */ org.apache.ambari.server.resources Import java.io.File Import org.apache.ambari.server.configuration.Configuration Import org.apache.commons.logging.Log Import org.apache.commons.logging.LogFactory Import com.google.inject.Inject Import com.google.inject.Singleton ClassDeclaration Modifier public Annotation Singleton /**
 * Resource manager.
 */ ResourceManager FieldDeclaration Modifier private static ReferenceType Log VariableDeclarator LOG MethodInvocation LogFactory ClassReference ReferenceType ResourceManager getLog FieldDeclaration Annotation Inject ReferenceType Configuration VariableDeclarator configs MethodDeclaration /**
  * Returns resource file.
  * @param resourcePath relational path to file
  * @return resource file
  */ Modifier public ReferenceType File getResource FormalParameter ReferenceType String resourcePath LocalVariableDeclaration ReferenceType String VariableDeclarator resDir MethodInvocation configs MethodInvocation MemberReference Configuration RESOURCES_DIR_KEY get getConfigsMap LocalVariableDeclaration ReferenceType String VariableDeclarator resourcePathIndep MethodInvocation resourcePath Literal ""/"" MemberReference File separator replaceAll LocalVariableDeclaration ReferenceType File VariableDeclarator resourceFile ClassCreator ReferenceType File BinaryOperation + BinaryOperation + MemberReference resDir MemberReference File separator MemberReference resourcePathIndep IfStatement MethodInvocation LOG isDebugEnabled BlockStatement StatementExpression MethodInvocation LOG BinaryOperation + BinaryOperation + BinaryOperation + BinaryOperation + BinaryOperation + BinaryOperation + Literal ""Resource requested from ResourceManager"" Literal "", resourceDir="" MemberReference resDir Literal "", resourcePath="" MemberReference resourcePathIndep Literal "", fileExists="" MethodInvocation resourceFile exists debug End ReturnStatement MemberReference resourceFile",1
258,258,,1
239,239,,0
41,41,"CompilationUnit PackageDeclaration /**
 * Licensed to the Apache Software Foundation (ASF) under one
 * or more contributor license agreements.  See the NOTICE file
 * distributed with this work for additional information
 * regarding copyright ownership.  The ASF licenses this file
 * to you under the Apache License, Version 2.0 (the
 * ""License""); you may not use this file except in compliance
 * with the License.  You may obtain a copy of the License at
 *
 *     http://www.apache.org/licenses/LICENSE-2.0
 *
 * Unless required by applicable law or agreed to in writing, software
 * distributed under the License is distributed on an ""AS IS"" BASIS,
 * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
 * See the License for the specific language governing permissions and
 * limitations under the License.
 */ org.apache.ambari.server.orm.entities Import javax.persistence.Column Import javax.persistence.Entity Import javax.persistence.Id Import javax.persistence.IdClass Import javax.persistence.JoinColumn Import javax.persistence.JoinColumns Import javax.persistence.ManyToOne Import javax.persistence.Table ClassDeclaration Modifier public Annotation IdClass ClassReference ReferenceType ComponentConfigMappingEntityPK Annotation Entity Annotation Table ElementValuePair name Literal ""componentconfigmapping"" ElementValuePair schema Literal ""ambari"" ElementValuePair catalog Literal """" ComponentConfigMappingEntity FieldDeclaration Modifier private ReferenceType Long VariableDeclarator clusterId FieldDeclaration Modifier private ReferenceType String VariableDeclarator serviceName FieldDeclaration Modifier private ReferenceType String VariableDeclarator componentName FieldDeclaration Modifier private ReferenceType String VariableDeclarator configType FieldDeclaration Modifier private ReferenceType String VariableDeclarator configTag FieldDeclaration Modifier private ReferenceType Long VariableDeclarator timestamp FieldDeclaration Modifier private ReferenceType ServiceComponentDesiredStateEntity VariableDeclarator componentEntity FieldDeclaration Modifier private ReferenceType ClusterConfigEntity VariableDeclarator clusterConfigEntity MethodDeclaration Modifier public Annotation Column ElementValuePair name Literal ""cluster_id"" ElementValuePair insertable Literal false ElementValuePair updatable Literal false ElementValuePair nullable Literal false Annotation Id ReferenceType Long getClusterId ReturnStatement MemberReference clusterId MethodDeclaration Modifier public setClusterId FormalParameter ReferenceType Long id StatementExpression Assignment MemberReference clusterId MemberReference id = MethodDeclaration Modifier public Annotation Column ElementValuePair name Literal ""service_name"" ElementValuePair insertable Literal false ElementValuePair updatable Literal false ElementValuePair nullable Literal false Annotation Id ReferenceType String getServiceName ReturnStatement MemberReference serviceName MethodDeclaration Modifier public setServiceName FormalParameter ReferenceType String name StatementExpression Assignment MemberReference serviceName MemberReference name = MethodDeclaration Modifier public Annotation Column ElementValuePair name Literal ""component_name"" ElementValuePair insertable Literal false ElementValuePair updatable Literal false ElementValuePair nullable Literal false Annotation Id ReferenceType String getComponentName ReturnStatement MemberReference componentName MethodDeclaration Modifier public setComponentName FormalParameter ReferenceType String name StatementExpression Assignment MemberReference componentName MemberReference name = MethodDeclaration Modifier public Annotation Column ElementValuePair name Literal ""config_type"" ElementValuePair insertable Literal true ElementValuePair updatable Literal false ElementValuePair nullable Literal false Annotation Id ReferenceType String getConfigType ReturnStatement MemberReference configType MethodDeclaration Modifier public setConfigType FormalParameter ReferenceType String type StatementExpression Assignment MemberReference configType MemberReference type = MethodDeclaration Modifier public Annotation Column ElementValuePair name Literal ""config_tag"" ElementValuePair nullable Literal false ElementValuePair insertable Literal true ElementValuePair updatable Literal true ReferenceType String getVersionTag ReturnStatement MemberReference configTag MethodDeclaration Modifier public setVersionTag FormalParameter ReferenceType String tag StatementExpression Assignment MemberReference configTag MemberReference tag = MethodDeclaration Modifier public Annotation Column ElementValuePair name Literal ""timestamp"" ElementValuePair nullable Literal false ElementValuePair insertable Literal true ElementValuePair updatable Literal true ReferenceType Long getTimestamp ReturnStatement MemberReference timestamp MethodDeclaration Modifier public setTimestamp FormalParameter ReferenceType Long stamp StatementExpression Assignment MemberReference timestamp MemberReference stamp = MethodDeclaration Modifier public Annotation Override BasicType boolean equals FormalParameter ReferenceType Object o IfStatement BinaryOperation == This MemberReference o ReturnStatement Literal true End IfStatement BinaryOperation || BinaryOperation == MemberReference o Literal null BinaryOperation != MethodInvocation getClass MethodInvocation o getClass ReturnStatement Literal false End LocalVariableDeclaration ReferenceType ComponentConfigMappingEntity VariableDeclarator that Cast ReferenceType ComponentConfigMappingEntity MemberReference o IfStatement TernaryExpression BinaryOperation != MemberReference clusterId Literal null MethodInvocation ! clusterId MemberReference that clusterId equals BinaryOperation != MemberReference that clusterId Literal null ReturnStatement Literal false End IfStatement TernaryExpression BinaryOperation != MemberReference serviceName Literal null MethodInvocation ! serviceName MemberReference that serviceName equals BinaryOperation != MemberReference that serviceName Literal null ReturnStatement Literal false End IfStatement TernaryExpression BinaryOperation != MemberReference componentName Literal null MethodInvocation ! componentName MemberReference that componentName equals BinaryOperation != MemberReference that componentName Literal null ReturnStatement Literal false End IfStatement TernaryExpression BinaryOperation != MemberReference configType Literal null MethodInvocation ! configType MemberReference that configType equals BinaryOperation != MemberReference that configType Literal null ReturnStatement Literal false End ReturnStatement Literal true MethodDeclaration Modifier public Annotation Override BasicType int hashCode LocalVariableDeclaration BasicType int VariableDeclarator result TernaryExpression BinaryOperation != MemberReference clusterId Literal null MethodInvocation clusterId intValue Literal 0 StatementExpression Assignment MemberReference result BinaryOperation + BinaryOperation * Literal 31 MemberReference result TernaryExpression BinaryOperation != MemberReference serviceName Literal null MethodInvocation serviceName hashCode Literal 0 = StatementExpression Assignment MemberReference result BinaryOperation + BinaryOperation * Literal 31 MemberReference result TernaryExpression BinaryOperation != MemberReference componentName Literal null MethodInvocation componentName hashCode Literal 0 = StatementExpression Assignment MemberReference result BinaryOperation + BinaryOperation * Literal 31 MemberReference result TernaryExpression BinaryOperation != MemberReference configType Literal null MethodInvocation configType hashCode Literal 0 = ReturnStatement MemberReference result MethodDeclaration Modifier public Annotation ManyToOne Annotation JoinColumns ElementArrayValue Annotation JoinColumn ElementValuePair name Literal ""cluster_id"" ElementValuePair referencedColumnName Literal ""cluster_id"" ElementValuePair nullable Literal false Annotation JoinColumn ElementValuePair name Literal ""service_name"" ElementValuePair referencedColumnName Literal ""service_name"" ElementValuePair nullable Literal false Annotation JoinColumn ElementValuePair name Literal ""component_name"" ElementValuePair referencedColumnName Literal ""component_name"" ElementValuePair nullable Literal false ReferenceType ServiceComponentDesiredStateEntity getServiceComponentDesiredStateEntity ReturnStatement MemberReference componentEntity MethodDeclaration Modifier public setServiceComponentDesiredStateEntity FormalParameter ReferenceType ServiceComponentDesiredStateEntity entity StatementExpression Assignment MemberReference componentEntity MemberReference entity = MethodDeclaration Modifier public Annotation ManyToOne Annotation JoinColumns ElementArrayValue Annotation JoinColumn ElementValuePair name Literal ""cluster_id"" ElementValuePair referencedColumnName Literal ""cluster_id"" ElementValuePair nullable Literal false ElementValuePair insertable Literal false ElementValuePair updatable Literal false Annotation JoinColumn ElementValuePair name Literal ""config_type"" ElementValuePair referencedColumnName Literal ""type_name"" ElementValuePair nullable Literal false ElementValuePair insertable Literal false ElementValuePair updatable Literal false Annotation JoinColumn ElementValuePair name Literal ""config_tag"" ElementValuePair referencedColumnName Literal ""version_tag"" ElementValuePair nullable Literal false ElementValuePair insertable Literal false ElementValuePair updatable Literal false ReferenceType ClusterConfigEntity getClusterConfigEntity ReturnStatement MemberReference clusterConfigEntity MethodDeclaration Modifier public setClusterConfigEntity FormalParameter ReferenceType ClusterConfigEntity clusterConfigEntity StatementExpression Assignment This MemberReference clusterConfigEntity MemberReference clusterConfigEntity =",0
343,343,,0
56,56,"CompilationUnit PackageDeclaration /**
 * Licensed to the Apache Software Foundation (ASF) under one
 * or more contributor license agreements.  See the NOTICE file
 * distributed with this work for additional information
 * regarding copyright ownership.  The ASF licenses this file
 * to you under the Apache License, Version 2.0 (the
 * ""License""); you may not use this file except in compliance
 * with the License.  You may obtain a copy of the License at
 *
 *     http://www.apache.org/licenses/LICENSE-2.0
 *
 * Unless required by applicable law or agreed to in writing, software
 * distributed under the License is distributed on an ""AS IS"" BASIS,
 * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
 * See the License for the specific language governing permissions and
 * limitations under the License.
 */ org.apache.ambari.server.api.services ClassDeclaration Modifier public /**
 * Result status information.
 */ ResultStatus EnumDeclaration Modifier public static /**
   * STATUS enum. Maps a status to a status code.
   */ STATUS EnumBody EnumConstantDeclaration OK Literal 200 Literal ""OK"" Literal false EnumConstantDeclaration CREATED Literal 201 Literal ""Created"" Literal false EnumConstantDeclaration ACCEPTED Literal 202 Literal ""Accepted"" Literal false EnumConstantDeclaration CONFLICT Literal 409 Literal ""Resource Conflict"" Literal true EnumConstantDeclaration NOT_FOUND Literal 404 Literal ""Not Found"" Literal true EnumConstantDeclaration BAD_REQUEST Literal 400 Literal ""Bad Request"" Literal true EnumConstantDeclaration UNAUTHORIZED Literal 401 Literal ""Unauthorized"" Literal true EnumConstantDeclaration FORBIDDEN Literal 403 Literal ""Forbidden"" Literal true EnumConstantDeclaration SERVER_ERROR Literal 500 Literal ""Internal Server Error"" Literal true FieldDeclaration /**
     * Status code
     */ Modifier private BasicType int VariableDeclarator m_code FieldDeclaration /**
     * Description
     */ Modifier private ReferenceType String VariableDeclarator m_desc FieldDeclaration /**
     * whether this is an error state
     */ Modifier private BasicType boolean VariableDeclarator m_isErrorState ConstructorDeclaration Modifier private /**
     * Constructor.
     *
     * @param code         status code
     * @param description  description
     * @param isErrorState whether this is an error state
     */ STATUS FormalParameter BasicType int code FormalParameter ReferenceType String description FormalParameter BasicType boolean isErrorState StatementExpression Assignment MemberReference m_code MemberReference code = StatementExpression Assignment MemberReference m_desc MemberReference description = StatementExpression Assignment MemberReference m_isErrorState MemberReference isErrorState = MethodDeclaration /**
     * Obtain the status code.
     * This is an http response code.
     *
     * @return  the status code
     */ Modifier public BasicType int getStatus ReturnStatement MemberReference m_code MethodDeclaration /**
     * Obtain a brief description.
     *
     * @return the description
     */ Modifier public ReferenceType String getDescription ReturnStatement MemberReference m_desc MethodDeclaration /**
     * Whether this status is an error state
     *
     * @return true if this is an error state; false otherwise
     */ Modifier public BasicType boolean isErrorState ReturnStatement MemberReference m_isErrorState MethodDeclaration Modifier public Annotation Override ReferenceType String toString ReturnStatement MethodInvocation getDescription FieldDeclaration /**
   * Status instance
   */ Modifier private ReferenceType STATUS VariableDeclarator m_status FieldDeclaration /**
   * Result status message
   */ Modifier private ReferenceType String VariableDeclarator m_msg ConstructorDeclaration Modifier public /**
   * Constructor.
   *
   * @param status result status
   * @param msg    result msg.  Usually used in case of an error.
   */ ResultStatus FormalParameter ReferenceType STATUS status FormalParameter ReferenceType String msg StatementExpression Assignment MemberReference m_status MemberReference status = StatementExpression Assignment MemberReference m_msg MemberReference msg = ConstructorDeclaration Modifier public /**
   * Constructor.
   *
   * @param status  result status
   */ ResultStatus FormalParameter ReferenceType STATUS status StatementExpression Assignment MemberReference m_status MemberReference status = ConstructorDeclaration Modifier public /**
   * Constructor.
   *
   * @param status  result status
   * @param e       result exception
   */ ResultStatus FormalParameter ReferenceType STATUS status FormalParameter ReferenceType Exception e StatementExpression Assignment MemberReference m_status MemberReference status = StatementExpression Assignment MemberReference m_msg MethodInvocation e toString = MethodDeclaration /**
   * Obtain the result status.
   * The result status contains a status code and a description of the status.
   *
   * @return  the result status
   */ Modifier public ReferenceType STATUS getStatus ReturnStatement MemberReference m_status MethodDeclaration /**
   * Obtain the status code.
   * This is a shortcut to obtaining the status code from the associated result status.
   *
   * @return the status code
   */ Modifier public BasicType int getStatusCode ReturnStatement MethodInvocation m_status getStatus MethodDeclaration /**
   * Determine whether the status is an error state.
   * This is a shortcut to getting this information from the associated result status.
   *
   * @return true if the status is a result state; false otherwise
   */ Modifier public BasicType boolean isErrorState ReturnStatement MethodInvocation m_status isErrorState MethodDeclaration /**
   * Obtain the result message.
   * This message is usually used when an exception occurred.
   *
   * @return the result message
   */ Modifier public ReferenceType String getMessage ReturnStatement MemberReference m_msg",0
116,116,"CompilationUnit PackageDeclaration /**
 * Licensed to the Apache Software Foundation (ASF) under one
 * or more contributor license agreements.  See the NOTICE file
 * distributed with this work for additional information
 * regarding copyright ownership.  The ASF licenses this file
 * to you under the Apache License, Version 2.0 (the
 * ""License""); you may not use this file except in compliance
 * with the License.  You may obtain a copy of the License at
 *
 *     http://www.apache.org/licenses/LICENSE-2.0
 *
 * Unless required by applicable law or agreed to in writing, software
 * distributed under the License is distributed on an ""AS IS"" BASIS,
 * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
 * See the License for the specific language governing permissions and
 * limitations under the License.
 */ org.apache.ambari.server.controller.spi Import java.util.Set ClassDeclaration Modifier public /**
 * Thrown to indicate that the requested properties are not supported for the
 * associated resource type.
 */ UnsupportedPropertyException FieldDeclaration /**
   * The resource type.
   */ Modifier private final ReferenceType Resource ReferenceType Type VariableDeclarator type FieldDeclaration /**
   * The unsupported property ids.
   */ Modifier private final ReferenceType Set TypeArgument ReferenceType String VariableDeclarator propertyIds ConstructorDeclaration Modifier public /**
   * Construct an UnsupportedPropertyException.
   *
   * @param type         the resource type
   * @param propertyIds  the unsupported property ids
   */ UnsupportedPropertyException FormalParameter ReferenceType Resource ReferenceType Type type FormalParameter ReferenceType Set TypeArgument ReferenceType String propertyIds StatementExpression SuperConstructorInvocation BinaryOperation + BinaryOperation + BinaryOperation + BinaryOperation + Literal ""The properties "" MemberReference propertyIds Literal "" specified in the request or predicate are not supported for the resource type "" MemberReference type Literal ""."" StatementExpression Assignment This MemberReference type MemberReference type = StatementExpression Assignment This MemberReference propertyIds MemberReference propertyIds = MethodDeclaration /**
   * Get the resource type.
   *
   * @return the resource type
   */ Modifier public ReferenceType Resource ReferenceType Type getType ReturnStatement MemberReference type MethodDeclaration /**
   * Get the unsupported property ids.
   *
   * @return the unsupported property ids
   */ Modifier public ReferenceType Set TypeArgument ReferenceType String getPropertyIds ReturnStatement MemberReference propertyIds ReferenceType Exception",1
370,370,,0
231,231,"CompilationUnit PackageDeclaration /**
* Licensed to the Apache Software Foundation (ASF) under one
* or more contributor license agreements.  See the NOTICE file
* distributed with this work for additional information
* regarding copyright ownership.  The ASF licenses this file
* to you under the Apache License, Version 2.0 (the
* ""License""); you may not use this file except in compliance
* with the License.  You may obtain a copy of the License at
*
*     http://www.apache.org/licenses/LICENSE-2.0
*
* Unless required by applicable law or agreed to in writing, software
* distributed under the License is distributed on an ""AS IS"" BASIS,
* WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
* See the License for the specific language governing permissions and
* limitations under the License.
*/ org.apache.ambari.server.state EnumDeclaration Modifier public HostEventType EnumBody EnumConstantDeclaration /**
   * Event to denote when a registration request is received from a Host
   */ HOST_REGISTRATION_REQUEST EnumConstantDeclaration /**
   * Host status check response received.
   */ HOST_STATUS_UPDATES_RECEIVED EnumConstantDeclaration /**
   * A healthy heartbeat event received from the Host.
   */ HOST_HEARTBEAT_HEALTHY EnumConstantDeclaration /**
   * No heartbeat received from the Host within the defined expiry interval.
   */ HOST_HEARTBEAT_LOST EnumConstantDeclaration /**
   * A non-healthy heartbeat event received from the Host.
   */ HOST_HEARTBEAT_UNHEALTHY",0
144,144,"CompilationUnit PackageDeclaration /**
* Licensed to the Apache Software Foundation (ASF) under one
* or more contributor license agreements.  See the NOTICE file
* distributed with this work for additional information
* regarding copyright ownership.  The ASF licenses this file
* to you under the Apache License, Version 2.0 (the
* ""License""); you may not use this file except in compliance
* with the License.  You may obtain a copy of the License at
*
*     http://www.apache.org/licenses/LICENSE-2.0
*
* Unless required by applicable law or agreed to in writing, software
* distributed under the License is distributed on an ""AS IS"" BASIS,
* WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
* See the License for the specific language governing permissions and
* limitations under the License.
*/ org.apache.ambari.server.state.fsm.event InterfaceDeclaration Modifier public /**
 * Interface defining events api.
 *
 */ Event MethodDeclaration ReferenceType TYPE getType MethodDeclaration BasicType long getTimestamp MethodDeclaration ReferenceType String toString TypeParameter TYPE ReferenceType Enum TypeArgument ReferenceType TYPE",1
