,id,code,label
1432,1432,,0
918,918,"CompilationUnit PackageDeclaration org.argouml.uml.ui.foundation.core Import org.argouml.model.Model Import org.argouml.uml.ui.UMLModelElementListModel2 ClassDeclaration Modifier public /**
 *
 * @author jaap.branderhorst@xs4all.nl
 * @since Jan 26, 2003
 */ UMLGeneralizableElementSpecializationListModel ConstructorDeclaration Modifier public /**
     * Constructor for UMLGeneralizableElementSpecializationListModel.
     */ UMLGeneralizableElementSpecializationListModel StatementExpression SuperConstructorInvocation Literal ""specialization"" MethodInvocation Model MethodInvocation getGeneralization getMetaTypes Literal true MethodDeclaration Modifier protected Annotation Override buildModelList IfStatement BinaryOperation && BinaryOperation != MethodInvocation getTarget Literal null MethodInvocation Model MethodInvocation MethodInvocation getTarget isAGeneralizableElement getFacade BlockStatement StatementExpression MethodInvocation MethodInvocation Model MethodInvocation MethodInvocation getTarget getSpecializations getFacade setAllElements End MethodDeclaration Modifier protected Annotation Override BasicType boolean isValidElement FormalParameter ReferenceType Object element ReturnStatement BinaryOperation && MethodInvocation Model MethodInvocation MemberReference element isAGeneralization getFacade MethodInvocation Model MethodInvocation MethodInvocation getTarget getSpecializations MethodInvocation MemberReference element contains getFacade ReferenceType UMLModelElementListModel2",1
907,907,"CompilationUnit PackageDeclaration org.argouml.uml.diagram.ui Import java.awt.Dimension Import java.awt.GridBagConstraints Import java.awt.GridBagLayout Import java.awt.Insets Import java.awt.event.ActionEvent Import java.awt.event.ActionListener Import javax.swing.JButton Import javax.swing.JLabel Import javax.swing.JPanel Import org.argouml.application.api.Argo Import org.argouml.application.api.GUISettingsTabInterface Import org.argouml.configuration.Configuration Import org.argouml.configuration.ConfigurationKey Import org.argouml.i18n.Translator Import org.argouml.kernel.Project Import org.argouml.kernel.ProjectManager Import org.argouml.kernel.ProjectSettings Import org.argouml.ui.ArgoJFontChooser Import org.argouml.util.ArgoFrame ClassDeclaration Modifier public /**
 * Settings tab panel for handling diagram appearance settings.
 * <p>
 * It supports different scopes: application and project. The former is stored
 * in the properties file in the user-directory, the latter in the project file
 * (.zargo,...).
 * <p>
 * This class is written in a way that supports adding more scopes easily.
 *
 * @author Aleksandar
 */ SettingsTabDiagramAppearance FieldDeclaration Modifier private ReferenceType JButton VariableDeclarator jbtnDiagramFont FieldDeclaration Modifier private ReferenceType String VariableDeclarator selectedDiagramFontName FieldDeclaration Modifier private BasicType int VariableDeclarator selectedDiagramFontSize FieldDeclaration Modifier private BasicType int VariableDeclarator scope FieldDeclaration Modifier private ReferenceType JLabel VariableDeclarator jlblDiagramFont Literal null ConstructorDeclaration Modifier public /**
     * The constructor. We currently support 2 scopes, but this class is written
     * in a way to easily extend that.
     *
     * @param settingsScope the scope of the settings
     */ SettingsTabDiagramAppearance FormalParameter BasicType int settingsScope StatementExpression SuperConstructorInvocation StatementExpression Assignment MemberReference scope MemberReference settingsScope = StatementExpression MethodInvocation initialize MethodDeclaration /**
     * This method initializes this
     */ Modifier private initialize LocalVariableDeclaration ReferenceType GridBagConstraints VariableDeclarator gridBagConstraints2 ClassCreator ReferenceType GridBagConstraints StatementExpression Assignment MemberReference gridBagConstraints2 gridx Literal 0 = StatementExpression Assignment MemberReference gridBagConstraints2 fill MemberReference GridBagConstraints BOTH = StatementExpression Assignment MemberReference gridBagConstraints2 weightx Literal 1.0 = StatementExpression Assignment MemberReference gridBagConstraints2 weighty Literal 1.0 = StatementExpression Assignment MemberReference gridBagConstraints2 gridy Literal 2 = LocalVariableDeclaration ReferenceType GridBagConstraints VariableDeclarator gridBagConstraints1 ClassCreator ReferenceType GridBagConstraints StatementExpression Assignment MemberReference gridBagConstraints1 gridx Literal 0 = StatementExpression Assignment MemberReference gridBagConstraints1 anchor MemberReference GridBagConstraints NORTHWEST = StatementExpression Assignment MemberReference gridBagConstraints1 insets ClassCreator ReferenceType Insets Literal 5 Literal 5 Literal 0 Literal 0 = StatementExpression Assignment MemberReference gridBagConstraints1 gridy Literal 0 = StatementExpression Assignment MemberReference jlblDiagramFont ClassCreator ReferenceType JLabel = StatementExpression MethodInvocation jlblDiagramFont MethodInvocation Translator Literal ""label.diagramappearance.diagramfont"" localize setText LocalVariableDeclaration ReferenceType GridBagConstraints VariableDeclarator gridBagConstraints ClassCreator ReferenceType GridBagConstraints StatementExpression Assignment MemberReference gridBagConstraints gridx Literal 0 = StatementExpression Assignment MemberReference gridBagConstraints fill MemberReference GridBagConstraints HORIZONTAL = StatementExpression Assignment MemberReference gridBagConstraints anchor MemberReference GridBagConstraints NORTHWEST = StatementExpression Assignment MemberReference gridBagConstraints weightx Literal 1.0 = StatementExpression Assignment MemberReference gridBagConstraints insets ClassCreator ReferenceType Insets Literal 5 Literal 5 Literal 0 Literal 5 = StatementExpression Assignment MemberReference gridBagConstraints gridy Literal 1 = StatementExpression This MethodInvocation ClassCreator ReferenceType GridBagLayout setLayout StatementExpression This MethodInvocation ClassCreator ReferenceType Dimension Literal 296 Literal 169 setSize StatementExpression This MethodInvocation MethodInvocation getJbtnDiagramFont MemberReference gridBagConstraints add StatementExpression This MethodInvocation MemberReference jlblDiagramFont MemberReference gridBagConstraints1 add StatementExpression This MethodInvocation ClassCreator ReferenceType JPanel MemberReference gridBagConstraints2 add MethodDeclaration Modifier private ReferenceType JButton getJbtnDiagramFont IfStatement BinaryOperation == MemberReference jbtnDiagramFont Literal null BlockStatement StatementExpression Assignment MemberReference jbtnDiagramFont ClassCreator ReferenceType JButton MethodInvocation Translator Literal ""label.diagramappearance.changefont"" localize = StatementExpression MethodInvocation jbtnDiagramFont ClassCreator ReferenceType ActionListener MethodDeclaration Modifier public actionPerformed FormalParameter ReferenceType ActionEvent e LocalVariableDeclaration ReferenceType ArgoJFontChooser VariableDeclarator jFontChooser ClassCreator ReferenceType ArgoJFontChooser MethodInvocation ArgoFrame getInstance MemberReference jbtnDiagramFont MemberReference selectedDiagramFontName MemberReference selectedDiagramFontSize StatementExpression MethodInvocation jFontChooser Literal true setVisible IfStatement MethodInvocation jFontChooser isOk BlockStatement StatementExpression Assignment MemberReference selectedDiagramFontName MethodInvocation jFontChooser getResultName = StatementExpression Assignment MemberReference selectedDiagramFontSize MethodInvocation jFontChooser getResultSize = End addActionListener End ReturnStatement MemberReference jbtnDiagramFont MethodDeclaration Modifier public handleSettingsTabRefresh IfStatement BinaryOperation == MemberReference scope MemberReference Argo SCOPE_APPLICATION BlockStatement StatementExpression Assignment MemberReference selectedDiagramFontName MethodInvocation DiagramAppearance MethodInvocation getConfiguredFontName getInstance = StatementExpression Assignment MemberReference selectedDiagramFontSize MethodInvocation Configuration MemberReference DiagramAppearance KEY_FONT_SIZE getInteger = End IfStatement BinaryOperation == MemberReference scope MemberReference Argo SCOPE_PROJECT BlockStatement LocalVariableDeclaration ReferenceType Project VariableDeclarator p MethodInvocation ProjectManager MethodInvocation getCurrentProject getManager LocalVariableDeclaration ReferenceType ProjectSettings VariableDeclarator ps MethodInvocation p getProjectSettings StatementExpression Assignment MemberReference selectedDiagramFontName MethodInvocation ps getFontName = StatementExpression Assignment MemberReference selectedDiagramFontSize MethodInvocation ps getFontSize = End MethodDeclaration /**
     * Get a boolean from the configuration.
     *
     * @param key a notation key.
     * @return a boolean
     */ Modifier protected static BasicType boolean getBoolean FormalParameter ReferenceType ConfigurationKey key ReturnStatement MethodInvocation Configuration MemberReference key Literal false getBoolean MethodDeclaration Modifier public handleSettingsTabSave IfStatement BinaryOperation == MemberReference scope MemberReference Argo SCOPE_APPLICATION BlockStatement StatementExpression MethodInvocation Configuration MemberReference DiagramAppearance KEY_FONT_NAME MemberReference selectedDiagramFontName setString StatementExpression MethodInvocation Configuration MemberReference DiagramAppearance KEY_FONT_SIZE MemberReference selectedDiagramFontSize setInteger End IfStatement BinaryOperation == MemberReference scope MemberReference Argo SCOPE_PROJECT BlockStatement LocalVariableDeclaration ReferenceType Project VariableDeclarator p MethodInvocation ProjectManager MethodInvocation getCurrentProject getManager LocalVariableDeclaration ReferenceType ProjectSettings VariableDeclarator ps MethodInvocation p getProjectSettings StatementExpression MethodInvocation ps MemberReference selectedDiagramFontName setFontName StatementExpression MethodInvocation ps MemberReference selectedDiagramFontSize setFontSize End MethodDeclaration Modifier public handleSettingsTabCancel StatementExpression MethodInvocation handleSettingsTabRefresh MethodDeclaration Modifier public handleResetToDefault IfStatement BinaryOperation == MemberReference scope MemberReference Argo SCOPE_PROJECT BlockStatement StatementExpression Assignment MemberReference selectedDiagramFontName MethodInvocation DiagramAppearance MethodInvocation getConfiguredFontName getInstance = StatementExpression Assignment MemberReference selectedDiagramFontSize MethodInvocation Configuration MemberReference DiagramAppearance KEY_FONT_SIZE getInteger = End MethodDeclaration Modifier public ReferenceType String getTabKey ReturnStatement Literal ""tab.diagramappearance"" MethodDeclaration Modifier public ReferenceType JPanel getTabPanel ReturnStatement This MethodDeclaration /**
     * Create a localized JButton.
     *
     * @param key the key for the string to be localized
     * @return a new checkbox with localized text
     */ Modifier protected ReferenceType JButton createCheckBox FormalParameter ReferenceType String key LocalVariableDeclaration ReferenceType JButton VariableDeclarator j ClassCreator ReferenceType JButton MethodInvocation Translator MemberReference key localize ReturnStatement MemberReference j MethodDeclaration /**
     * Create a localized JLabel.
     *
     * @param key the key of the text for the label
     * @return a new label with a localized text for the given key
     */ Modifier protected ReferenceType JLabel createLabel FormalParameter ReferenceType String key ReturnStatement ClassCreator ReferenceType JLabel MethodInvocation Translator MemberReference key localize MethodDeclaration /**
     * Create a localized JButton.
     *
     * @param key the key for the string to be localized
     * @return a new checkbox with localized text
     */ Modifier protected ReferenceType JButton createButton FormalParameter ReferenceType String key ReturnStatement ClassCreator ReferenceType JButton MethodInvocation Translator MemberReference key localize MethodDeclaration Modifier public setVisible FormalParameter BasicType boolean arg0 StatementExpression SuperMethodInvocation MemberReference arg0 setVisible IfStatement MemberReference arg0 StatementExpression MethodInvocation handleSettingsTabRefresh End ReferenceType JPanel ReferenceType GUISettingsTabInterface",1
528,528,"CompilationUnit PackageDeclaration org.argouml.ui.explorer.rules Import java.util.Collection Import java.util.Set InterfaceDeclaration Modifier public /**
 * This is the interface for rules that together make a model perspective
 * in the explorer.
 *
 * @since 0.15.2, Created on 03 October 2003, 20:55
 * @author  alexb
 */ PerspectiveRule MethodDeclaration /**
     * @return the name of the rule, like ""from->to"".
     */ ReferenceType String getRuleName MethodDeclaration /**
     * Gets a collection of 'child' objects for the given 'parent' object in the
     * uml model, which creates the tree structure.
     *
     * @param parent the given parent
     * @return the children
     */ ReferenceType Collection getChildren FormalParameter ReferenceType Object parent MethodDeclaration /**
     * Gets a collection of objects for any 'parent' object in the
     * uml model for which the tree structure must be recreated when
     * they are changed.
     *
     * @param parent the parent
     * @return the dependent objects
     */ ReferenceType Set getDependencies FormalParameter ReferenceType Object parent",1
359,359,"CompilationUnit PackageDeclaration org.argouml.uml.ui.behavior.activity_graphs Import java.util.ArrayList Import java.util.Collection Import java.util.List Import javax.swing.JComponent Import javax.swing.JList Import javax.swing.JScrollPane Import org.argouml.i18n.Translator Import org.argouml.model.Model Import org.argouml.uml.ui.AbstractActionAddModelElement2 Import org.argouml.uml.ui.ActionNavigateContainerElement Import org.argouml.uml.ui.UMLModelElementListModel2 Import org.argouml.uml.ui.UMLMutableLinkedList Import org.argouml.uml.ui.foundation.core.PropPanelModelElement Import org.argouml.uml.ui.foundation.extension_mechanisms.ActionNewStereotype ClassDeclaration Modifier public /**
 * The properties panel for a Partition (Swimlane).
 *
 * @author mkl
 */ PropPanelPartition FieldDeclaration Modifier private ReferenceType JScrollPane VariableDeclarator contentsScroll FieldDeclaration Modifier private ReferenceType JScrollPane VariableDeclarator activityGraphScroll FieldDeclaration Modifier private static ReferenceType UMLPartitionContentListModel VariableDeclarator contentListModel ClassCreator ReferenceType UMLPartitionContentListModel Literal ""contents"" ConstructorDeclaration Modifier public /**
     * constructor.
     */ PropPanelPartition StatementExpression SuperConstructorInvocation Literal ""label.partition-title"" MethodInvocation Literal ""Partition"" lookupIcon StatementExpression MethodInvocation MethodInvocation Translator Literal ""label.name"" localize MethodInvocation getNameTextField addField StatementExpression Assignment MemberReference activityGraphScroll MethodInvocation ClassCreator ReferenceType UMLPartitionActivityGraphListModel getSingleRowScroll = StatementExpression MethodInvocation MethodInvocation Translator Literal ""label.activity-graph"" localize MethodInvocation getActivityGraphField addField StatementExpression MethodInvocation addSeparator StatementExpression MethodInvocation MethodInvocation Translator Literal ""label.contents"" localize MethodInvocation getContentsField addField StatementExpression MethodInvocation ClassCreator ReferenceType ActionNavigateContainerElement addAction StatementExpression MethodInvocation ClassCreator ReferenceType ActionNewStereotype addAction StatementExpression MethodInvocation MethodInvocation getDeleteAction addAction MethodDeclaration /**
     * This field intentionally allows to do far more things 
     * than would be possible by dragging elements in or out 
     * of the FigPartition. <p>
     * 
     * E.g. if you only use dragging, then an element belongs to 
     * at most one partition, a logical presumption. 
     * The ActionAddPartitionContent however,
     * allows modifying the model in such way that
     * elements belong to more than one partition,
     * which is not prohibited by the UML standard. <p>
     * 
     * These extra possibilities are needed e.g. to amend 
     * a model loaded in XMI format.
     * 
     * @return a textfield for the name
     */ Modifier protected ReferenceType JComponent getContentsField IfStatement BinaryOperation == MemberReference contentsScroll Literal null BlockStatement LocalVariableDeclaration ReferenceType JList VariableDeclarator contentList ClassCreator ReferenceType UMLMutableLinkedList MemberReference contentListModel ClassCreator ReferenceType ActionAddPartitionContent Literal null StatementExpression Assignment MemberReference contentsScroll ClassCreator ReferenceType JScrollPane MemberReference contentList = End ReturnStatement MemberReference contentsScroll MethodDeclaration Modifier protected ReferenceType JScrollPane getActivityGraphField ReturnStatement MemberReference activityGraphScroll ClassDeclaration ActionAddPartitionContent ConstructorDeclaration Modifier public ActionAddPartitionContent StatementExpression SuperConstructorInvocation StatementExpression MethodInvocation Literal true setMultiSelect MethodDeclaration Modifier protected Annotation Override doIt FormalParameter ReferenceType Collection selected LocalVariableDeclaration ReferenceType Object VariableDeclarator partition MethodInvocation getTarget IfStatement MethodInvocation Model MethodInvocation MemberReference partition isAPartition getFacade BlockStatement StatementExpression MethodInvocation Model MethodInvocation MemberReference partition MemberReference selected setContents getActivityGraphsHelper End MethodDeclaration Modifier protected ReferenceType List getChoices LocalVariableDeclaration ReferenceType List VariableDeclarator ret ClassCreator ReferenceType ArrayList IfStatement MethodInvocation Model MethodInvocation MethodInvocation getTarget isAPartition getFacade BlockStatement LocalVariableDeclaration ReferenceType Object VariableDeclarator partition MethodInvocation getTarget LocalVariableDeclaration ReferenceType Object VariableDeclarator ag MethodInvocation Model MethodInvocation MemberReference partition getActivityGraph getFacade IfStatement BinaryOperation != MemberReference ag Literal null BlockStatement LocalVariableDeclaration ReferenceType Object VariableDeclarator top MethodInvocation Model MethodInvocation MemberReference ag getTop getFacade StatementExpression MethodInvocation ret MethodInvocation Model MethodInvocation MemberReference top getSubvertices getFacade addAll End End ReturnStatement MemberReference ret MethodDeclaration Modifier protected ReferenceType String getDialogTitle ReturnStatement MethodInvocation Translator Literal ""dialog.title.add-contents"" localize MethodDeclaration Modifier protected ReferenceType List getSelected LocalVariableDeclaration ReferenceType List VariableDeclarator ret ClassCreator ReferenceType ArrayList StatementExpression MethodInvocation ret MethodInvocation Model MethodInvocation MethodInvocation getTarget getContents getFacade addAll ReturnStatement MemberReference ret ReferenceType AbstractActionAddModelElement2 ReferenceType PropPanelModelElement ClassDeclaration UMLPartitionContentListModel ConstructorDeclaration Modifier public UMLPartitionContentListModel FormalParameter ReferenceType String name StatementExpression SuperConstructorInvocation MemberReference name MethodDeclaration Modifier protected buildModelList LocalVariableDeclaration ReferenceType Object VariableDeclarator partition MethodInvocation getTarget StatementExpression MethodInvocation MethodInvocation Model MethodInvocation MemberReference partition getContents getFacade setAllElements MethodDeclaration Modifier protected BasicType boolean isValidElement FormalParameter ReferenceType Object element IfStatement MethodInvocation ! Model MethodInvocation MemberReference element isAModelElement getFacade BlockStatement ReturnStatement Literal false End LocalVariableDeclaration ReferenceType Object VariableDeclarator partition MethodInvocation getTarget ReturnStatement MethodInvocation Model MethodInvocation MemberReference partition getContents MethodInvocation MemberReference element contains getFacade ReferenceType UMLModelElementListModel2 ClassDeclaration UMLPartitionActivityGraphListModel ConstructorDeclaration Modifier public /**
     * Constructor for UMLStateVertexIncomingListModel.
     */ UMLPartitionActivityGraphListModel StatementExpression SuperConstructorInvocation Literal ""activityGraph"" MethodDeclaration Modifier protected buildModelList StatementExpression MethodInvocation removeAllElements StatementExpression MethodInvocation MethodInvocation Model MethodInvocation MethodInvocation getTarget getActivityGraph getFacade addElement MethodDeclaration Modifier protected BasicType boolean isValidElement FormalParameter ReferenceType Object element ReturnStatement BinaryOperation == MethodInvocation Model MethodInvocation MethodInvocation getTarget getActivityGraph getFacade MemberReference element ReferenceType UMLModelElementListModel2",0
194,194,"CompilationUnit PackageDeclaration org.argouml.uml.diagram.ui Import java.awt.Font Import org.argouml.model.Model ClassDeclaration /**
 * A FigSingleLineText that represents the name of a modelelement,
 * which handles italic font if the element is abstract. <p>
 * 
 * For this to work, the owner of this FigText needs to be set!
 *
 * @author Michiel
 */ FigNameWithAbstract ConstructorDeclaration Modifier public FigNameWithAbstract FormalParameter BasicType int x FormalParameter BasicType int y FormalParameter BasicType int w FormalParameter BasicType int h FormalParameter BasicType boolean expandOnly StatementExpression SuperConstructorInvocation MemberReference x MemberReference y MemberReference w MemberReference h MemberReference expandOnly MethodDeclaration Modifier protected Annotation Override BasicType int getFigFontStyle LocalVariableDeclaration BasicType int VariableDeclarator style Literal 0 IfStatement BinaryOperation != MethodInvocation getOwner Literal null BlockStatement StatementExpression Assignment MemberReference style TernaryExpression MethodInvocation Model MethodInvocation MethodInvocation getOwner isAbstract getFacade MemberReference Font ITALIC MemberReference Font PLAIN = End ReturnStatement BinaryOperation | SuperMethodInvocation getFigFontStyle MemberReference style ReferenceType FigSingleLineText",0
1438,1438,,0
350,350,"CompilationUnit PackageDeclaration org.argouml.uml.ui.foundation.core Import java.beans.PropertyChangeEvent Import java.util.Collection Import org.apache.log4j.Logger Import org.argouml.kernel.ProjectManager Import org.argouml.model.Model Import org.argouml.uml.ui.UMLComboBoxModel2 ClassDeclaration Modifier public /**
 * A model for a namespace combo box.
 *
 * @since Oct 10, 2002
 * @author jaap.branderhorst@xs4all.nl, alexb
 */ UMLModelElementNamespaceComboBoxModel FieldDeclaration /**
     * Logger.
     */ Modifier private final static ReferenceType Logger VariableDeclarator LOG MethodInvocation Logger ClassReference ReferenceType UMLModelElementNamespaceComboBoxModel getLogger ConstructorDeclaration Modifier public /**
     * Constructor for UMLModelElementNamespaceComboBoxModel.
     */ UMLModelElementNamespaceComboBoxModel StatementExpression SuperConstructorInvocation Literal ""namespace"" Literal true StatementExpression MethodInvocation Model MethodInvocation This MethodInvocation Model MethodInvocation getNamespace getMetaTypes Literal ""ownedElement"" addClassModelEventListener getPump MethodDeclaration Modifier protected BasicType boolean isValidElement FormalParameter ReferenceType Object o ReturnStatement BinaryOperation && MethodInvocation Model MethodInvocation MemberReference o isANamespace getFacade MethodInvocation Model MethodInvocation MethodInvocation getTarget MemberReference o isValidNamespace getCoreHelper MethodDeclaration Modifier protected buildModelList LocalVariableDeclaration ReferenceType Object VariableDeclarator model MethodInvocation ProjectManager MethodInvocation getCurrentProject MethodInvocation getRoot getManager LocalVariableDeclaration ReferenceType Object VariableDeclarator target MethodInvocation getTarget LocalVariableDeclaration ReferenceType Collection VariableDeclarator c MethodInvocation Model MethodInvocation MemberReference target MemberReference model getAllPossibleNamespaces getCoreHelper IfStatement BinaryOperation != MemberReference target Literal null BlockStatement LocalVariableDeclaration ReferenceType Object VariableDeclarator namespace MethodInvocation Model MethodInvocation MemberReference target getNamespace getFacade IfStatement BinaryOperation && BinaryOperation != MemberReference namespace Literal null MethodInvocation ! c MemberReference namespace contains BlockStatement StatementExpression MethodInvocation c MemberReference namespace add StatementExpression MethodInvocation LOG Literal ""The current namespace is not a valid one!"" warn End End StatementExpression MethodInvocation MemberReference c setElements MethodDeclaration Modifier protected ReferenceType Object getSelectedModelElement IfStatement BinaryOperation != MethodInvocation getTarget Literal null BlockStatement ReturnStatement MethodInvocation Model MethodInvocation MethodInvocation getTarget getNamespace getFacade End ReturnStatement Literal null MethodDeclaration Modifier public propertyChange FormalParameter ReferenceType PropertyChangeEvent evt LocalVariableDeclaration ReferenceType Object VariableDeclarator t MethodInvocation getTarget IfStatement BinaryOperation && BinaryOperation && BinaryOperation != MemberReference t Literal null BinaryOperation == MethodInvocation evt getSource MemberReference t BinaryOperation != MethodInvocation evt getNewValue Literal null BlockStatement StatementExpression MethodInvocation buildModelList StatementExpression MethodInvocation MethodInvocation getSelectedModelElement setSelectedItem End FieldDeclaration /**
     * The UID.
     */ Modifier private final static BasicType long VariableDeclarator serialVersionUID Literal - 775116993155949065L ReferenceType UMLComboBoxModel2",0
1408,1408,,0
314,314,"CompilationUnit PackageDeclaration org.argouml.model.mdr Import org.argouml.model.AbstractDataTypesHelperDecorator Import org.argouml.model.DataTypesHelper ClassDeclaration /**
 * This Decorator is responsible for generating commands for any
 * mutable methods.
 *
 * @author Linus Tolke
 */ UndoDataTypesHelperDecorator ConstructorDeclaration /**
     * Constructor.
     *
     * @param component The component we are decorating.
     */ UndoDataTypesHelperDecorator FormalParameter ReferenceType DataTypesHelper component StatementExpression SuperConstructorInvocation MemberReference component ReferenceType AbstractDataTypesHelperDecorator",1
