,id,code,label
898,898,,0
168,168,"CompilationUnit PackageDeclaration org.apache.jackrabbit.j2ee Import org.apache.jackrabbit.rmi.client.ClientRepositoryFactory Import org.apache.log4j.Logger Import javax.jcr.Repository Import javax.naming.InitialContext Import javax.naming.NamingException Import javax.servlet.ServletContext Import javax.servlet.ServletException Import javax.servlet.http.HttpServlet Import java.net.MalformedURLException Import java.rmi.NotBoundException Import java.rmi.RemoteException Import java.util.Enumeration Import java.util.Properties ClassDeclaration Modifier public /**
 * This Class implements a servlet that is used as unified mechanism to retrieve
 * a jcr repository either through JNID, RMI or JCRWebdavServer.
 */ RepositoryAccessServlet FieldDeclaration /**
     * default logger
     */ Modifier private final static ReferenceType Logger VariableDeclarator log MethodInvocation Logger ClassReference ReferenceType RepositoryAccessServlet getLogger FieldDeclaration /**
     * the 'repository-name' init parameter
     */ Modifier public final static ReferenceType String VariableDeclarator INIT_PARAM_REPOSITORY_NAME Literal ""repository-name"" FieldDeclaration /**
     * the 'rmi-uri' init parameter
     */ Modifier public final static ReferenceType String VariableDeclarator INIT_PARAM_RMI_URI Literal ""rmi-uri"" FieldDeclaration /**
     * the 'missing-auth-mapping' init parameter
     */ Modifier private final static ReferenceType String VariableDeclarator CTX_ATTR_REPOSITORY Literal ""jcr.repository"" FieldDeclaration Modifier private final static ReferenceType String VariableDeclarator CTX_ATTR_REPOSITORY_NAME Literal ""jcr.repository.name"" FieldDeclaration Modifier private final static ReferenceType String VariableDeclarator CTX_ATTR_REPOSITORY_RMI_URI Literal ""jcr.repository.rmiURI"" FieldDeclaration Modifier private final static ReferenceType String VariableDeclarator CTX_ATTR_REPOSITORY_JNDI_CONTEXT Literal ""jcr.repository.jndiContext"" MethodDeclaration /**
     * Initializes this servlet
     *
     * @throws javax.servlet.ServletException
     */ Modifier public init ServletException StatementExpression MethodInvocation log Literal ""RepositoryAccessServlet initializing..."" info LocalVariableDeclaration ReferenceType String VariableDeclarator repositoryName MethodInvocation MethodInvocation MemberReference INIT_PARAM_REPOSITORY_NAME getInitParameter getServletConfig IfStatement BinaryOperation == MemberReference repositoryName Literal null BlockStatement StatementExpression Assignment MemberReference repositoryName Literal ""default"" = End StatementExpression MethodInvocation MethodInvocation MemberReference CTX_ATTR_REPOSITORY_NAME MemberReference repositoryName setAttribute getServletContext StatementExpression MethodInvocation MethodInvocation MemberReference CTX_ATTR_REPOSITORY_RMI_URI MethodInvocation getRMIUri setAttribute getServletContext StatementExpression MethodInvocation MethodInvocation MemberReference CTX_ATTR_REPOSITORY_JNDI_CONTEXT MethodInvocation getInitialContext setAttribute getServletContext StatementExpression MethodInvocation log Literal ""RepositoryAccessServlet initialized."" info MethodDeclaration Modifier private ReferenceType InitialContext getInitialContext TryStatement LocalVariableDeclaration ReferenceType Properties VariableDeclarator env ClassCreator ReferenceType Properties LocalVariableDeclaration ReferenceType Enumeration VariableDeclarator names MethodInvocation MethodInvocation getInitParameterNames getServletConfig WhileStatement MethodInvocation names hasMoreElements BlockStatement LocalVariableDeclaration ReferenceType String VariableDeclarator name Cast ReferenceType String MethodInvocation names nextElement IfStatement MethodInvocation name Literal ""java.naming."" startsWith BlockStatement LocalVariableDeclaration ReferenceType String VariableDeclarator initParam MethodInvocation MethodInvocation MemberReference name getInitParameter getServletConfig IfStatement MethodInvocation initParam Literal """" equals BlockStatement StatementExpression MethodInvocation log BinaryOperation + Literal ""  ignoring empty JNDI init param: "" MemberReference name info BlockStatement StatementExpression MethodInvocation env MemberReference name MemberReference initParam put StatementExpression MethodInvocation log BinaryOperation + BinaryOperation + BinaryOperation + Literal ""  adding property to JNDI environment: "" MemberReference name Literal ""="" MemberReference initParam info End End End ReturnStatement ClassCreator ReferenceType InitialContext MemberReference env CatchClause CatchClauseParameter NamingException e StatementExpression MethodInvocation log BinaryOperation + Literal ""Create initial context: "" MethodInvocation e toString error ReturnStatement Literal null MethodDeclaration Modifier private ReferenceType String getRMIUri ReturnStatement MethodInvocation MethodInvocation MemberReference INIT_PARAM_RMI_URI getInitParameter getServletConfig MethodDeclaration /**
     * tries to retrieve the repository using RMI
     */ Modifier private static ReferenceType Repository getRepositoryByJNDI FormalParameter ReferenceType ServletContext ctx LocalVariableDeclaration ReferenceType String VariableDeclarator repositoryName Cast ReferenceType String MethodInvocation ctx MemberReference CTX_ATTR_REPOSITORY_NAME getAttribute LocalVariableDeclaration ReferenceType InitialContext VariableDeclarator jndiContext Cast ReferenceType InitialContext MethodInvocation ctx MemberReference CTX_ATTR_REPOSITORY_JNDI_CONTEXT getAttribute IfStatement BinaryOperation == MemberReference jndiContext Literal null BlockStatement ReturnStatement Literal null End TryStatement LocalVariableDeclaration ReferenceType Repository VariableDeclarator r Cast ReferenceType Repository MethodInvocation jndiContext MemberReference repositoryName lookup StatementExpression MethodInvocation log Literal ""Acquired repository via JNDI."" info ReturnStatement MemberReference r CatchClause CatchClauseParameter NamingException e StatementExpression MethodInvocation log BinaryOperation + BinaryOperation + BinaryOperation + Literal ""Error while retrieving repository using JNDI (name="" MemberReference repositoryName Literal ""): "" MemberReference e error ReturnStatement Literal null MethodDeclaration /**
     * tries to retrieve the repository using RMI
     */ Modifier private static ReferenceType Repository getRepositoryByRMI FormalParameter ReferenceType ServletContext ctx LocalVariableDeclaration ReferenceType String VariableDeclarator rmiURI Cast ReferenceType String MethodInvocation ctx MemberReference CTX_ATTR_REPOSITORY_RMI_URI getAttribute IfStatement BinaryOperation == MemberReference rmiURI Literal null BlockStatement ReturnStatement Literal null End StatementExpression MethodInvocation log BinaryOperation + Literal ""  trying to retrieve repository using rmi. uri="" MemberReference rmiURI info LocalVariableDeclaration ReferenceType ClientFactoryDelegater VariableDeclarator cfd TryStatement LocalVariableDeclaration ReferenceType Class VariableDeclarator clazz MethodInvocation Class Literal ""org.apache.jackrabbit.j2ee.RMIClientFactoryDelegater"" forName StatementExpression Assignment MemberReference cfd Cast ReferenceType ClientFactoryDelegater MethodInvocation clazz newInstance = CatchClause CatchClauseParameter NoClassDefFoundError e StatementExpression MethodInvocation log BinaryOperation + Literal ""Unable to locate RMI ClientRepositoryFactory. jcr-rmi.jar missing? "" MethodInvocation e toString error ReturnStatement Literal null CatchClause CatchClauseParameter Exception e StatementExpression MethodInvocation log BinaryOperation + Literal ""Unable to locate RMI ClientRepositoryFactory. jcr-rmi.jar missing?"" MethodInvocation e toString error ReturnStatement Literal null TryStatement LocalVariableDeclaration ReferenceType Repository VariableDeclarator r MethodInvocation cfd MemberReference rmiURI getRepository StatementExpression MethodInvocation log Literal ""Acquired repository via RMI."" info ReturnStatement MemberReference r CatchClause CatchClauseParameter Exception e StatementExpression MethodInvocation log BinaryOperation + Literal ""Error while retrieving repository using RMI: "" MemberReference e error ReturnStatement Literal null MethodDeclaration /**
     * Returns the JSR170 repository
     *
     * @return a jsr170 repository
     * @throws IllegalStateException if the repository is not available in the context.
     */ Modifier public static ReferenceType Repository getRepository FormalParameter ReferenceType ServletContext ctx LocalVariableDeclaration ReferenceType Repository VariableDeclarator repository Cast ReferenceType Repository MethodInvocation ctx MemberReference CTX_ATTR_REPOSITORY getAttribute IfStatement BinaryOperation != MemberReference repository Literal null BlockStatement ReturnStatement MemberReference repository BlockStatement StatementExpression Assignment MemberReference repository MethodInvocation MemberReference ctx getRepositoryByRMI = End IfStatement BinaryOperation == MemberReference repository Literal null BlockStatement StatementExpression Assignment MemberReference repository MethodInvocation MemberReference ctx getRepositoryByJNDI = End IfStatement BinaryOperation == MemberReference repository Literal null BlockStatement StatementExpression MethodInvocation log Literal ""The repository is not available. Check config of 'RepositoryAccessServlet'."" fatal ThrowStatement ClassCreator ReferenceType IllegalStateException Literal ""The repository is not available."" BlockStatement StatementExpression MethodInvocation ctx MemberReference CTX_ATTR_REPOSITORY MemberReference repository setAttribute StatementExpression MethodInvocation log BinaryOperation + BinaryOperation + MethodInvocation repository MemberReference Repository REP_NAME_DESC getDescriptor Literal "" v"" MethodInvocation repository MemberReference Repository REP_VERSION_DESC getDescriptor info ReturnStatement MemberReference repository End ReferenceType HttpServlet ClassDeclaration Modifier abstract /**
 * optional class for RMI, will only be used, if RMI client is present
 */ ClientFactoryDelegater MethodDeclaration Modifier public abstract ReferenceType Repository getRepository FormalParameter ReferenceType String uri RemoteException MalformedURLException NotBoundException ClassDeclaration /**
 * optional class for RMI, will only be used, if RMI server is present
 */ RMIClientFactoryDelegater FieldDeclaration Modifier static ReferenceType String VariableDeclarator FactoryClassName ClassReference MethodInvocation getName ReferenceType ClientRepositoryFactory MethodDeclaration Modifier public ReferenceType Repository getRepository FormalParameter ReferenceType String uri MalformedURLException NotBoundException RemoteException StatementExpression MethodInvocation System Literal ""java.rmi.server.useCodebaseOnly"" Literal ""true"" setProperty ReturnStatement ClassCreator MethodInvocation MemberReference uri getRepository ReferenceType ClientRepositoryFactory ReferenceType ClientFactoryDelegater",0
603,603,,0
91,91,"CompilationUnit PackageDeclaration org.apache.jackrabbit Import java.io.PrintStream Import java.io.PrintWriter ClassDeclaration Modifier public abstract /**
 * The abstract class <code>BaseException</code> serves as the base class
 * for all exceptions that are specific to this JCR implementation and that
 * are not derived from <code>javax.jcr.RepositoryException</code>.
 */ BaseException FieldDeclaration /**
     * Root failure cause
     */ Modifier private final ReferenceType Throwable VariableDeclarator rootCause ConstructorDeclaration Modifier public /**
     * Constructs a new instance of this class with <code>null</code> as its
     * detail message.
     */ BaseException StatementExpression SuperConstructorInvocation StatementExpression Assignment MemberReference rootCause Literal null = ConstructorDeclaration Modifier public /**
     * Constructs a new instance of this class with the specified detail
     * message.
     *
     * @param message the detail message. The detail message is saved for
     *                later retrieval by the {@link #getMessage()} method.
     */ BaseException FormalParameter ReferenceType String message StatementExpression SuperConstructorInvocation MemberReference message StatementExpression Assignment MemberReference rootCause Literal null = ConstructorDeclaration Modifier public /**
     * Constructs a new instance of this class with the specified detail
     * message and root cause.
     *
     * @param message   the detail message. The detail message is saved for
     *                  later retrieval by the {@link #getMessage()} method.
     * @param rootCause root failure cause
     */ BaseException FormalParameter ReferenceType String message FormalParameter ReferenceType Throwable rootCause StatementExpression SuperConstructorInvocation MemberReference message StatementExpression Assignment This MemberReference rootCause MemberReference rootCause = ConstructorDeclaration Modifier public /**
     * Constructs a new instance of this class with the specified root cause.
     *
     * @param rootCause root failure cause
     */ BaseException FormalParameter ReferenceType Throwable rootCause StatementExpression SuperConstructorInvocation StatementExpression Assignment This MemberReference rootCause MemberReference rootCause = MethodDeclaration /**
     * Returns the detail message, including the message from the nested
     * exception if there is one.
     *
     * @return the detail message (which may be <code>null</code>).
     */ Modifier public ReferenceType String getMessage LocalVariableDeclaration ReferenceType String VariableDeclarator s SuperMethodInvocation getMessage IfStatement BinaryOperation == MemberReference rootCause Literal null BlockStatement ReturnStatement MemberReference s IfStatement BinaryOperation == MemberReference s Literal null BlockStatement ReturnStatement MethodInvocation rootCause getMessage BlockStatement ReturnStatement BinaryOperation + BinaryOperation + MemberReference s Literal "": "" MethodInvocation rootCause getMessage End End MethodDeclaration /**
     * Creates a localized description of this exception.
     * Subclasses may override this method in order to produce a
     * locale-specific message. For subclasses that do not override this
     * method, the default implementation returns the same result as
     * <code>getMessage()</code>.
     *
     * @return The localized description of this exception.
     */ Modifier public ReferenceType String getLocalizedMessage ReturnStatement MethodInvocation getMessage MethodDeclaration /**
     * Returns the cause of this exception or <code>null</code> if the
     * cause is nonexistent or unknown. (The cause is the throwable that
     * caused this exception to get thrown.)
     *
     * @return the cause of this exception or <code>null</code> if the
     *         cause is nonexistent or unknown.
     */ Modifier public ReferenceType Throwable getCause ReturnStatement MemberReference rootCause MethodDeclaration /**
     * Prints this <code>RepositoryException</code> and its backtrace to the
     * standard error stream.
     */ Modifier public printStackTrace StatementExpression MethodInvocation MemberReference System err printStackTrace MethodDeclaration /**
     * Prints this <code>RepositoryException</code> and its backtrace to the
     * specified print stream.
     *
     * @param s <code>PrintStream</code> to use for output
     */ Modifier public printStackTrace FormalParameter ReferenceType PrintStream s SynchronizedStatement MemberReference s StatementExpression SuperMethodInvocation MemberReference s printStackTrace IfStatement BinaryOperation != MemberReference rootCause Literal null BlockStatement StatementExpression MethodInvocation rootCause MemberReference s printStackTrace End MethodDeclaration /**
     * Prints this <code>RepositoryException</code> and its backtrace to
     * the specified print writer.
     *
     * @param s <code>PrintWriter</code> to use for output
     */ Modifier public printStackTrace FormalParameter ReferenceType PrintWriter s SynchronizedStatement MemberReference s StatementExpression SuperMethodInvocation MemberReference s printStackTrace IfStatement BinaryOperation != MemberReference rootCause Literal null BlockStatement StatementExpression MethodInvocation rootCause MemberReference s printStackTrace End ReferenceType Exception",0
45,45,"CompilationUnit PackageDeclaration org.apache.jackrabbit.core.query Import org.apache.jackrabbit.name.NamespaceResolver Import javax.jcr.query.InvalidQueryException InterfaceDeclaration Modifier public /**
 * Specifies an interface for a query tree builder.
 */ QueryTreeBuilder MethodDeclaration /**
     * Creates a <code>QueryNode</code> tree from a statement.
     *
     * @param statement the statement.
     * @param resolver  the namespace resolver to use.
     * @return the <code>QueryNode</code> tree for the statement.
     * @throws javax.jcr.query.InvalidQueryException
     *          if the statement is malformed.
     */ Modifier public ReferenceType QueryRootNode createQueryTree FormalParameter ReferenceType String statement FormalParameter ReferenceType NamespaceResolver resolver InvalidQueryException MethodDeclaration /**
     * Returns <code>true</code> if this query tree builder can handle a
     * statement in <code>language</code>.
     *
     * @param language the language of a query statement to build a query tree.
     * @return <code>true</code> if this builder can handle <code>language</code>;
     *         <code>false</code> otherwise.
     */ Modifier public BasicType boolean canHandle FormalParameter ReferenceType String language MethodDeclaration /**
     * Creates a String representation of the query node tree in the syntax this
     * <code>QueryTreeBuilder</code> can handle.
     *
     * @param root     the root of the query node tree.
     * @param resolver to resolve QNames.
     * @return a String representation of the query node tree.
     * @throws InvalidQueryException if the query node tree cannot be converted
     *                               into a String representation due to
     *                               restrictions in this syntax.
     */ Modifier public ReferenceType String toString FormalParameter ReferenceType QueryRootNode root FormalParameter ReferenceType NamespaceResolver resolver InvalidQueryException",0
391,391,"CompilationUnit PackageDeclaration org.apache.jackrabbit.webdav.observation Import org.apache.jackrabbit.webdav.xml.XmlSerializable Import org.apache.jackrabbit.webdav.xml.Namespace InterfaceDeclaration Modifier public /**
 * <code>EventType</code>...
 */ EventType MethodDeclaration Modifier public ReferenceType String getName MethodDeclaration Modifier public ReferenceType Namespace getNamespace ReferenceType XmlSerializable",1
148,148,"CompilationUnit PackageDeclaration org.apache.jackrabbit.core.config Import javax.security.auth.spi.LoginModule ClassDeclaration Modifier public /**
 * LoginModule configuration. This bean configuration class is used to
 * create login module objects.
 * <p>
 * Login module is an optional configuration that allows to use JackRabbit
 * in a non-JAAS environment.
 *
 * @see RepositoryConfig#getLoginModuleConfig()
 * @version $Id$
 */ LoginModuleConfig ConstructorDeclaration Modifier public /**
     * Creates an access manager configuration object from the
     * given bean configuration.
     *
     * @param config bean configuration
     */ LoginModuleConfig FormalParameter ReferenceType BeanConfig config StatementExpression SuperConstructorInvocation MemberReference config MethodDeclaration Modifier public ReferenceType LoginModule getLoginModule ConfigurationException LocalVariableDeclaration ReferenceType Object VariableDeclarator result MethodInvocation newInstance IfStatement BinaryOperation instanceof MemberReference result ReferenceType LoginModule BlockStatement ReturnStatement Cast ReferenceType LoginModule MemberReference result BlockStatement ThrowStatement ClassCreator ReferenceType ConfigurationException BinaryOperation + BinaryOperation + Literal ""Invalid login module implementation class "" MethodInvocation getClassName Literal ""."" End ReferenceType BeanConfig",0
828,828,,0
524,524,"CompilationUnit PackageDeclaration org.apache.jackrabbit.webdav.lock Import org.apache.jackrabbit.webdav.property.DavPropertyName Import org.apache.jackrabbit.webdav.property.AbstractDavProperty Import org.w3c.dom.Element Import org.w3c.dom.Document Import java.util.ArrayList Import java.util.Iterator ClassDeclaration Modifier public /**
 * The <code>SupportedLock</code> class encapsulates the lock capabilties
 * of a resource. It is mainly responsible for generating the &lt;supportedlock>
 * property.
 */ SupportedLock FieldDeclaration /** the list of lock entries */ Modifier private final ReferenceType ArrayList VariableDeclarator entries ClassCreator ReferenceType ArrayList ConstructorDeclaration Modifier public /**
     * Creates a new empty SupportedLock property.
     */ SupportedLock StatementExpression SuperConstructorInvocation MemberReference DavPropertyName SUPPORTEDLOCK Literal false MethodDeclaration /**
     * Adds a capability to this lock support.
     *
     * @param type Can currently only be 'write'
     * @param scope Can currently only be 'exclusive' or 'shared'
     *
     * @throws IllegalArgumentException If an argument contains invalid string
     */ Modifier public addEntry FormalParameter ReferenceType Type type FormalParameter ReferenceType Scope scope StatementExpression MethodInvocation entries ClassCreator ReferenceType WriteLockEntry MemberReference type MemberReference scope add MethodDeclaration /**
     * Adds a capability to this lock support.
     *
     * @param entry specifying the type of lock that is supported by this entry.
     * @see LockEntry
     */ Modifier public addEntry FormalParameter ReferenceType LockEntry entry IfStatement BinaryOperation == MemberReference entry Literal null BlockStatement ThrowStatement ClassCreator ReferenceType IllegalArgumentException Literal ""The lock entry cannot be null."" End StatementExpression MethodInvocation entries MemberReference entry add MethodDeclaration /**
     * Returns true if this a lock with the given type and scope is supported.
     *
     * @param type
     * @param scope
     * @return true if applying a lock with the given type and scope is basically
     * supported.
     */ Modifier public BasicType boolean isSupportedLock FormalParameter ReferenceType Type type FormalParameter ReferenceType Scope scope LocalVariableDeclaration ReferenceType Iterator VariableDeclarator it MethodInvocation entries iterator WhileStatement MethodInvocation it hasNext BlockStatement LocalVariableDeclaration ReferenceType LockEntry VariableDeclarator le Cast ReferenceType LockEntry MethodInvocation it next IfStatement BinaryOperation && MethodInvocation le MethodInvocation MemberReference type equals getType MethodInvocation le MethodInvocation MemberReference scope equals getScope BlockStatement ReturnStatement Literal true End End ReturnStatement Literal false MethodDeclaration /**
     * Returns an iterator over all supported locks.
     *
     * @return an iterator over all supported locks
     */ Modifier public ReferenceType Iterator getSupportedLocks ReturnStatement MethodInvocation entries iterator MethodDeclaration /**
     * Creates a JDOM element that represents the &lt;supportedlock> tag.
     * 
     * @return A JDOM element of this lock support.
     * @param document
     */ Modifier public ReferenceType Element toXml FormalParameter ReferenceType Document document LocalVariableDeclaration ReferenceType Element VariableDeclarator support MethodInvocation MethodInvocation MemberReference document toXml getName LocalVariableDeclaration ReferenceType Iterator VariableDeclarator iter MethodInvocation entries iterator WhileStatement MethodInvocation iter hasNext BlockStatement LocalVariableDeclaration ReferenceType LockEntry VariableDeclarator le Cast ReferenceType LockEntry MethodInvocation iter next StatementExpression MethodInvocation support MethodInvocation le MemberReference document toXml appendChild End ReturnStatement MemberReference support MethodDeclaration /**
     * Returns the list of supported lock entries.
     *
     * @return list of supported lock.
     * @see org.apache.jackrabbit.webdav.property.DavProperty#getValue()
     */ Modifier public ReferenceType Object getValue ReturnStatement MemberReference entries ClassDeclaration Modifier private final static /**
     * Class representing the default lock entries defined by
     * <a href=""http://www.ietf.org/rfc/rfc2518.txt"">RFC 2518</a>.
     */ WriteLockEntry FieldDeclaration /** the lock scope */ Modifier private final ReferenceType Scope VariableDeclarator scope ConstructorDeclaration /**
         * Creates a new WriteLockEntry
         *
         * @param type Can currently only be
         * {@link Type#WRITE write}
         * @param scope Can currently only be {@link Scope#EXCLUSIVE exclusive}
         * or {@link Scope#SHARED shared}.
         *
         * @throws IllegalArgumentException If an argument contains invalid string
         */ WriteLockEntry FormalParameter ReferenceType Type type FormalParameter ReferenceType Scope scope IfStatement MethodInvocation ! Type.WRITE MemberReference type equals BlockStatement ThrowStatement ClassCreator ReferenceType IllegalArgumentException BinaryOperation + Literal ""Invalid Type:"" MemberReference type End IfStatement BinaryOperation && MethodInvocation ! Scope.EXCLUSIVE MemberReference scope equals MethodInvocation ! Scope.SHARED MemberReference scope equals BlockStatement ThrowStatement ClassCreator ReferenceType IllegalArgumentException BinaryOperation + Literal ""Invalid scope:"" MemberReference scope End StatementExpression Assignment This MemberReference scope MemberReference scope = MethodDeclaration /**
         * @return always returns {@link Type#WRITE write}.
         * @see LockEntry#getType()
         */ Modifier public ReferenceType Type getType ReturnStatement MemberReference Type WRITE MethodDeclaration /**
         * @return returns {@link Scope#EXCLUSIVE} or {@link Scope#SHARED}.
         * @see LockEntry#getScope()
         */ Modifier public ReferenceType Scope getScope ReturnStatement MemberReference scope ReferenceType AbstractLockEntry ReferenceType AbstractDavProperty",1
761,761,,0
