,id,code,label
520,520,,0
510,510,,0
306,306,"CompilationUnit PackageDeclaration org.apache.jmeter.control.gui Import java.util.Collection Import java.util.Arrays Import java.awt.BorderLayout Import org.apache.jmeter.gui.util.MenuFactory Import org.apache.jmeter.control.TestFragmentController Import org.apache.jmeter.testelement.TestElement ClassDeclaration Modifier public /**
 * This defines a simple Test Fragment GUI that can be used instead of a Thread Group
 * to allow for a non-execution part of the Test Plan that can be saved and referenced
 * by a Module or Include Controller.
 */ TestFragmentControllerGui FieldDeclaration Modifier private final static BasicType long VariableDeclarator serialVersionUID Literal 240L ConstructorDeclaration Modifier public TestFragmentControllerGui StatementExpression MethodInvocation init MethodDeclaration /**
     * A newly created component can be initialized with the contents of a Test
     * Element object by calling this method. The component is responsible for
     * querying the Test Element object for the relevant information to display
     * in its GUI.
     *
     * @param element
     *            the TestElement to configure
     */ Modifier public Annotation Override configure FormalParameter ReferenceType TestElement element StatementExpression SuperMethodInvocation MemberReference element configure MethodDeclaration /**
     * Implements JMeterGUIComponent.createTestElement()
     */ Modifier public ReferenceType TestElement createTestElement LocalVariableDeclaration ReferenceType TestFragmentController VariableDeclarator controller ClassCreator ReferenceType TestFragmentController StatementExpression MethodInvocation MemberReference controller modifyTestElement ReturnStatement MemberReference controller MethodDeclaration /**
     * Implements JMeterGUIComponent.modifyTestElement(TestElement)
     */ Modifier public modifyTestElement FormalParameter ReferenceType TestElement controller StatementExpression MethodInvocation MemberReference controller configureTestElement MethodDeclaration Modifier public ReferenceType String getLabelResource ReturnStatement Literal ""test_fragment_title"" MethodDeclaration /**
     * Initialize the GUI components and layout for this component.
     */ Modifier private init StatementExpression MethodInvocation ClassCreator ReferenceType BorderLayout Literal 0 Literal 5 setLayout StatementExpression MethodInvocation MethodInvocation makeBorder setBorder StatementExpression MethodInvocation MethodInvocation makeTitlePanel MemberReference BorderLayout NORTH add MethodDeclaration /**
     * Over-ride this so that we add ourselves to the Test Fragment Category instead.
     */ Modifier public Annotation Override ReferenceType Collection TypeArgument ReferenceType String getMenuCategories ReturnStatement MethodInvocation Arrays ArrayCreator ReferenceType String ArrayInitializer MemberReference MenuFactory FRAGMENTS asList ReferenceType AbstractControllerGui",0
238,238,"CompilationUnit PackageDeclaration org.apache.jmeter.visualizers Import java.util.regex.Matcher Import java.util.regex.Pattern Import org.apache.jmeter.samplers.SampleResult Import org.apache.jmeter.util.JMeterUtils ClassDeclaration Modifier public RenderAsJSON FieldDeclaration Modifier private final static ReferenceType String VariableDeclarator ESC_CHAR_REGEX Literal ""\\\\[\""\\\\/bfnrt]|\\\\u[0-9A-Fa-f]{4}"" FieldDeclaration Modifier private final static ReferenceType String VariableDeclarator NORMAL_CHARACTER_REGEX Literal ""[^\""\\\\]"" FieldDeclaration Modifier private final static ReferenceType String VariableDeclarator STRING_REGEX BinaryOperation + BinaryOperation + BinaryOperation + BinaryOperation + Literal ""\""("" MemberReference ESC_CHAR_REGEX Literal ""|"" MemberReference NORMAL_CHARACTER_REGEX Literal "")*\"""" FieldDeclaration Modifier private final static ReferenceType String VariableDeclarator OTHER_VALUE_REGEX Literal ""[^\\{\\[\\]\\}\\,]*"" FieldDeclaration Modifier private final static ReferenceType String VariableDeclarator VALUE_OR_PAIR_REGEX BinaryOperation + BinaryOperation + BinaryOperation + BinaryOperation + BinaryOperation + BinaryOperation + Literal ""(("" MemberReference STRING_REGEX Literal ""\\s*:)?\\s*("" MemberReference STRING_REGEX Literal ""|"" MemberReference OTHER_VALUE_REGEX Literal "")\\s*,?\\s*)"" FieldDeclaration Modifier private final static ReferenceType Pattern VariableDeclarator VALUE_OR_PAIR_PATTERN MethodInvocation Pattern MemberReference VALUE_OR_PAIR_REGEX compile MethodDeclaration /** {@inheritDoc} */ Modifier public renderResult FormalParameter ReferenceType SampleResult sampleResult LocalVariableDeclaration ReferenceType String VariableDeclarator response MethodInvocation ViewResultsFullVisualizer MemberReference sampleResult getResponseAsString StatementExpression MethodInvocation MemberReference response showRenderJSONResponse MethodDeclaration Modifier private showRenderJSONResponse FormalParameter ReferenceType String response StatementExpression MethodInvocation results Literal ""text/plain"" setContentType StatementExpression MethodInvocation results TernaryExpression BinaryOperation == MemberReference response Literal null Literal """" MethodInvocation MemberReference response prettyJSON setText StatementExpression MethodInvocation results Literal 0 setCaretPosition StatementExpression MethodInvocation resultsScrollPane MemberReference results setViewportView MethodDeclaration Modifier private static ReferenceType String prettyJSON FormalParameter ReferenceType String json LocalVariableDeclaration ReferenceType StringBuilder VariableDeclarator pretty ClassCreator ReferenceType StringBuilder BinaryOperation * MethodInvocation json length Literal 2 LocalVariableDeclaration Modifier final ReferenceType String VariableDeclarator tab Literal "":   "" LocalVariableDeclaration ReferenceType StringBuilder VariableDeclarator index ClassCreator ReferenceType StringBuilder LocalVariableDeclaration ReferenceType String VariableDeclarator nl Literal """" LocalVariableDeclaration ReferenceType Matcher VariableDeclarator valueOrPair MethodInvocation VALUE_OR_PAIR_PATTERN MemberReference json matcher LocalVariableDeclaration BasicType boolean VariableDeclarator misparse Literal false ForStatement ForControl VariableDeclaration BasicType int VariableDeclarator i Literal 0 BinaryOperation < MemberReference i MethodInvocation json length BlockStatement LocalVariableDeclaration Modifier final BasicType char VariableDeclarator currentChar MethodInvocation json MemberReference i charAt IfStatement BinaryOperation || BinaryOperation == MemberReference currentChar Literal '{' BinaryOperation == MemberReference currentChar Literal '[' BlockStatement StatementExpression MethodInvocation pretty MethodInvocation MemberReference index append MethodInvocation MemberReference currentChar append MemberReference nl append StatementExpression MemberReference ++ i StatementExpression MethodInvocation index MemberReference tab append StatementExpression Assignment MemberReference misparse Literal false = IfStatement BinaryOperation || BinaryOperation == MemberReference currentChar Literal '}' BinaryOperation == MemberReference currentChar Literal ']' BlockStatement IfStatement BinaryOperation > MethodInvocation index length Literal 0 BlockStatement StatementExpression MethodInvocation index Literal 0 MethodInvocation tab length delete End StatementExpression MethodInvocation pretty MethodInvocation MemberReference index append MethodInvocation MemberReference currentChar append MemberReference nl append StatementExpression MemberReference ++ i LocalVariableDeclaration BasicType int VariableDeclarator j MemberReference i WhileStatement BinaryOperation && BinaryOperation < MemberReference j MethodInvocation json length MethodInvocation Character MethodInvocation json MemberReference j charAt isWhitespace BlockStatement StatementExpression MemberReference ++ j End IfStatement BinaryOperation && BinaryOperation < MemberReference j MethodInvocation json length BinaryOperation == MethodInvocation json MemberReference j charAt Literal ',' BlockStatement StatementExpression MethodInvocation pretty Literal "","" append StatementExpression Assignment MemberReference i BinaryOperation + MemberReference j Literal 1 = End StatementExpression Assignment MemberReference misparse Literal false = IfStatement BinaryOperation && MethodInvocation valueOrPair MemberReference i find BinaryOperation > MethodInvocation valueOrPair MethodInvocation length group Literal 0 BlockStatement StatementExpression MethodInvocation pretty MethodInvocation MemberReference index append MethodInvocation MethodInvocation valueOrPair group append MemberReference nl append StatementExpression Assignment MemberReference i MethodInvocation valueOrPair end = StatementExpression Assignment MemberReference misparse Literal false = BlockStatement IfStatement MemberReference ! misparse BlockStatement StatementExpression MethodInvocation pretty MethodInvocation Literal ""- Parse failed from:"" append MemberReference nl append End StatementExpression MethodInvocation pretty MemberReference currentChar append StatementExpression MemberReference ++ i StatementExpression Assignment MemberReference misparse Literal true = End End End StatementExpression Assignment MemberReference nl Literal ""\n"" = End ReturnStatement MethodInvocation pretty toString MethodDeclaration /** {@inheritDoc} */ Modifier public Annotation Override ReferenceType String toString ReturnStatement MethodInvocation JMeterUtils Literal ""view_results_render_json"" getResString ReferenceType SamplerResultTab ReferenceType ResultRenderer",0
223,223,"CompilationUnit PackageDeclaration org.apache.jmeter.gui Import javax.swing.JPanel Import javax.swing.JPopupMenu Import org.apache.jmeter.gui.util.MenuFactory Import org.apache.jmeter.testelement.AbstractScopedTestElement Import org.apache.jmeter.util.ScopePanel ClassDeclaration Modifier public abstract AbstractScopedJMeterGuiComponent FieldDeclaration Modifier private final static BasicType long VariableDeclarator serialVersionUID Literal 240L FieldDeclaration Modifier private ReferenceType ScopePanel VariableDeclarator scopePanel MethodDeclaration Modifier public Annotation Override clearGui StatementExpression SuperMethodInvocation clearGui IfStatement BinaryOperation != MemberReference scopePanel Literal null BlockStatement StatementExpression MethodInvocation scopePanel clearGui End MethodDeclaration /**
     * When a user right-clicks on the component in the test tree, or selects
     * the edit menu when the component is selected, the component will be asked
     * to return a JPopupMenu that provides all the options available to the
     * user from this component.
     * <p>
     * This implementation returns menu items appropriate for most assertion
     * components.
     *
     * @return a JPopupMenu appropriate for the component.
     */ Modifier public ReferenceType JPopupMenu createPopupMenu ReturnStatement MethodInvocation MenuFactory getDefaultAssertionMenu MethodDeclaration /**
     * Create the scope settings panel.
     *
     * @return the scope settings panel
     */ Modifier protected ReferenceType JPanel createScopePanel ReturnStatement MethodInvocation Literal false createScopePanel MethodDeclaration /**
     * Create the scope settings panel.
     * @param enableVariable set true to enable the variable panel
     * @return the scope settings panel
     */ Modifier protected ReferenceType JPanel createScopePanel FormalParameter BasicType boolean enableVariable StatementExpression Assignment MemberReference scopePanel ClassCreator ReferenceType ScopePanel MemberReference enableVariable = ReturnStatement MemberReference scopePanel MethodDeclaration /**
     * Save the scope settings in the test element.
     *
     * @param testElement
     */ Modifier protected saveScopeSettings FormalParameter ReferenceType AbstractScopedTestElement testElement IfStatement MethodInvocation scopePanel isScopeParent BlockStatement StatementExpression MethodInvocation testElement setScopeParent IfStatement MethodInvocation scopePanel isScopeChildren BlockStatement StatementExpression MethodInvocation testElement setScopeChildren IfStatement MethodInvocation scopePanel isScopeAll BlockStatement StatementExpression MethodInvocation testElement setScopeAll IfStatement MethodInvocation scopePanel isScopeVariable BlockStatement StatementExpression MethodInvocation testElement MethodInvocation scopePanel getVariable setScopeVariable BlockStatement ThrowStatement ClassCreator ReferenceType IllegalArgumentException Literal ""Unexpected scope panel state"" End End End End MethodDeclaration /**
     * Show the scope settings from the test element.
     *
     * @param testElement
     */ Modifier protected showScopeSettings FormalParameter ReferenceType AbstractScopedTestElement testElement StatementExpression MethodInvocation MemberReference testElement Literal false showScopeSettings MethodDeclaration /**
     * Show the scope settings from the test element with variable scope
     *
     * @param testElement
     * @param enableVariableButton
     */ Modifier protected showScopeSettings FormalParameter ReferenceType AbstractScopedTestElement testElement FormalParameter BasicType boolean enableVariableButton LocalVariableDeclaration ReferenceType String VariableDeclarator scope MethodInvocation testElement fetchScope IfStatement MethodInvocation testElement MemberReference scope isScopeParent BlockStatement StatementExpression MethodInvocation scopePanel MemberReference enableVariableButton setScopeParent IfStatement MethodInvocation testElement MemberReference scope isScopeChildren BlockStatement StatementExpression MethodInvocation scopePanel MemberReference enableVariableButton setScopeChildren IfStatement MethodInvocation testElement MemberReference scope isScopeAll BlockStatement StatementExpression MethodInvocation scopePanel MemberReference enableVariableButton setScopeAll IfStatement MethodInvocation testElement MemberReference scope isScopeVariable BlockStatement StatementExpression MethodInvocation scopePanel MethodInvocation testElement getVariableName setScopeVariable BlockStatement ThrowStatement ClassCreator ReferenceType IllegalArgumentException BinaryOperation + Literal ""Invalid scope: "" MemberReference scope End End End End ReferenceType AbstractJMeterGuiComponent",0
679,679,,1
457,457,,0
380,380,"CompilationUnit PackageDeclaration org.apache.jmeter.protocol.http.util Import java.io.Serializable Import org.apache.jmeter.testelement.AbstractTestElement Import org.apache.jmeter.testelement.property.JMeterProperty Import org.apache.jmeter.testelement.property.StringProperty ClassDeclaration Modifier public /**
 * Class representing a file parameter for http upload.
 * Consists of a http parameter name/file path pair with (optional) mimetype.
 *
 * Also provides temporary storage for the headers which are sent with files.
 *
 */ HTTPFileArg FieldDeclaration Modifier private final static BasicType long VariableDeclarator serialVersionUID Literal 240L FieldDeclaration /** Name used to store the file's path. */ Modifier private final static ReferenceType String VariableDeclarator FILEPATH Literal ""File.path"" FieldDeclaration /** Name used to store the file's paramname. */ Modifier private final static ReferenceType String VariableDeclarator PARAMNAME Literal ""File.paramname"" FieldDeclaration /** Name used to store the file's mimetype. */ Modifier private final static ReferenceType String VariableDeclarator MIMETYPE Literal ""File.mimetype"" FieldDeclaration /** temporary storage area for the body header. */ Modifier private ReferenceType String VariableDeclarator header ConstructorDeclaration Modifier public /**
     * Constructor for an empty HTTPFileArg object
     */ HTTPFileArg ConstructorDeclaration Modifier public /**
     * Constructor for the HTTPFileArg object with given path.
     */ HTTPFileArg FormalParameter ReferenceType String path StatementExpression ExplicitConstructorInvocation MemberReference path Literal """" Literal """" ConstructorDeclaration Modifier public /**
     * Constructor for the HTTPFileArg object with full information.
     */ HTTPFileArg FormalParameter ReferenceType String path FormalParameter ReferenceType String paramname FormalParameter ReferenceType String mimetype IfStatement BinaryOperation || BinaryOperation || BinaryOperation == MemberReference path Literal null BinaryOperation == MemberReference paramname Literal null BinaryOperation == MemberReference mimetype Literal null BlockStatement ThrowStatement ClassCreator ReferenceType IllegalArgumentException Literal ""Parameters must not be null"" End StatementExpression MethodInvocation MemberReference path setPath StatementExpression MethodInvocation MemberReference paramname setParamName StatementExpression MethodInvocation MemberReference mimetype setMimeType ConstructorDeclaration Modifier public /**
     * Constructor for the HTTPFileArg object with full information,
     * using existing properties
     */ HTTPFileArg FormalParameter ReferenceType JMeterProperty path FormalParameter ReferenceType JMeterProperty paramname FormalParameter ReferenceType JMeterProperty mimetype IfStatement BinaryOperation || BinaryOperation || BinaryOperation == MemberReference path Literal null BinaryOperation == MemberReference paramname Literal null BinaryOperation == MemberReference mimetype Literal null BlockStatement ThrowStatement ClassCreator ReferenceType IllegalArgumentException Literal ""Parameters must not be null"" End StatementExpression MethodInvocation MemberReference FILEPATH MemberReference path setProperty StatementExpression MethodInvocation MemberReference MIMETYPE MemberReference mimetype setProperty StatementExpression MethodInvocation MemberReference PARAMNAME MemberReference paramname setProperty MethodDeclaration Modifier private setProperty FormalParameter ReferenceType String name FormalParameter ReferenceType JMeterProperty prop LocalVariableDeclaration ReferenceType JMeterProperty VariableDeclarator jmp Cast ReferenceType JMeterProperty MethodInvocation prop clone StatementExpression MethodInvocation jmp MemberReference name setName StatementExpression MethodInvocation MemberReference jmp setProperty ConstructorDeclaration Modifier public /**
     * Copy Constructor.
     */ HTTPFileArg FormalParameter ReferenceType HTTPFileArg file StatementExpression ExplicitConstructorInvocation MethodInvocation file getPath MethodInvocation file getParamName MethodInvocation file getMimeType MethodDeclaration /**
     * Set the http parameter name of the File.
     *
     * @param newParamName
     * the new http parameter name
     */ Modifier public setParamName FormalParameter ReferenceType String newParamName StatementExpression MethodInvocation ClassCreator ReferenceType StringProperty MemberReference PARAMNAME MemberReference newParamName setProperty MethodDeclaration /**
     * Get the http parameter name of the File.
     *
     * @return the http parameter name
     */ Modifier public ReferenceType String getParamName ReturnStatement MethodInvocation MemberReference PARAMNAME getPropertyAsString MethodDeclaration /**
     * Set the mimetype of the File.
     *
     * @param newMimeType
     * the new mimetype
     */ Modifier public setMimeType FormalParameter ReferenceType String newMimeType StatementExpression MethodInvocation ClassCreator ReferenceType StringProperty MemberReference MIMETYPE MemberReference newMimeType setProperty MethodDeclaration /**
     * Get the mimetype of the File.
     *
     * @return the http parameter mimetype
     */ Modifier public ReferenceType String getMimeType ReturnStatement MethodInvocation MemberReference MIMETYPE getPropertyAsString MethodDeclaration /**
     * Set the path of the File.
     *
     * @param newPath
     *  the new path
     */ Modifier public setPath FormalParameter ReferenceType String newPath StatementExpression MethodInvocation ClassCreator ReferenceType StringProperty MemberReference FILEPATH MemberReference newPath setProperty MethodDeclaration /**
     * Get the path of the File.
     *
     * @return the file's path
     */ Modifier public ReferenceType String getPath ReturnStatement MethodInvocation MemberReference FILEPATH getPropertyAsString MethodDeclaration /**
    * Sets the body header for the HTTPFileArg object. Header
    * contains path, parameter name and mime type information.
    * This is only intended for use by methods which need to store information
    * temporarily whilst creating the HTTP body.
    * 
    * @param newHeader
    *  the new Header value
    */ Modifier public setHeader FormalParameter ReferenceType String newHeader StatementExpression Assignment MemberReference header MemberReference newHeader = MethodDeclaration /**
    * Gets the saved body header for the HTTPFileArg object.
    */ Modifier public ReferenceType String getHeader ReturnStatement MemberReference header MethodDeclaration /**
     * returns path, param name, mime type information of
     * HTTPFileArg object.
     *
     * @return the string demonstration of HTTPFileArg object in this
     * format:
     *    ""path:'<PATH>'|param:'<PARAM NAME>'|mimetype:'<MIME TYPE>'""
     */ Modifier public Annotation Override ReferenceType String toString ReturnStatement BinaryOperation + BinaryOperation + BinaryOperation + BinaryOperation + BinaryOperation + BinaryOperation + Literal ""path:'"" MethodInvocation getPath Literal ""'|param:'"" MethodInvocation getParamName Literal ""'|mimetype:'"" MethodInvocation getMimeType Literal ""'"" MethodDeclaration /**
     * Check if the entry is not empty.
     * @return true if Path, name or mimetype fields are not the empty string
     */ Modifier public BasicType boolean isNotEmpty ReturnStatement BinaryOperation || BinaryOperation || BinaryOperation > MethodInvocation MethodInvocation length getPath Literal 0 BinaryOperation > MethodInvocation MethodInvocation length getParamName Literal 0 BinaryOperation > MethodInvocation MethodInvocation length getMimeType Literal 0 ReferenceType AbstractTestElement ReferenceType Serializable",0
731,731,,0
598,598,,0
